iter	Logloss
127	0.3805412566
128	0.3804647606
129	0.380363626
130	0.3803291448
131	0.3801804824
132	0.3801207049
133	0.3800101352
134	0.3799623156
135	0.3797622133
136	0.3797068631
137	0.3796447676
138	0.3795554446
139	0.3795149477
140	0.3794916412
141	0.3794348562
142	0.3793817624
143	0.3792760758
144	0.3791376967
145	0.3789675129
146	0.3787779154
147	0.3786892017
148	0.378630603
149	0.3784151531
150	0.378381313
151	0.3783269979
152	0.3781745348
153	0.3781448052
154	0.3779607404
155	0.3779204816
156	0.3778208068
157	0.3777871736
158	0.377756101
159	0.377658431
160	0.3776268046
161	0.377450112
162	0.3774108369
163	0.3773574703
164	0.3772157708
165	0.3771742067
166	0.3771497652
167	0.3771068097
168	0.3770797893
169	0.3770602849
170	0.3769882055
171	0.3767556034
172	0.3767288912
173	0.3766953167
174	0.3766550281
175	0.3766315787
176	0.376577394
177	0.3764907065
178	0.3764330608
179	0.3763505574
180	0.3762048826
181	0.376132588
182	0.3761051412
183	0.3760454136
184	0.3760214794
185	0.3759728323
186	0.3759367872
187	0.3757706839
188	0.3756884967
189	0.3756530383
190	0.3756200876
191	0.3755866934
192	0.3755622628
193	0.37550807
194	0.3754578384
195	0.3754284799
196	0.3753760767
197	0.3753181181
198	0.3752038247
199	0.375183346
200	0.3751645375
201	0.3750160345
202	0.3749482946
203	0.3749006087
204	0.3747573546
205	0.3747009422
206	0.3746609093
207	0.3746114191
208	0.3745653538
209	0.3745161806
210	0.3744702693
211	0.3743486223
212	0.3742966356
213	0.3742670315
214	0.3742353796
215	0.3741711286
216	0.3741446822
217	0.3741005349
218	0.3740622091
219	0.3740398795
220	0.374000205
221	0.373958676
222	0.3737767539
223	0.3736543633
224	0.3735208841
225	0.3734393965
226	0.3733867785
227	0.3731046272
228	0.373060183
229	0.373031191
230	0.3729760231
231	0.3729037773
232	0.3728589549
233	0.3728096224
234	0.3727372077
235	0.3726943456
236	0.3726430625
237	0.3726151381
238	0.3725981414
239	0.3722820318
240	0.3720582889
241	0.3720144916
242	0.371963284
243	0.3719355532
244	0.3718601014
245	0.3716390504
246	0.3716154051
247	0.3715727162
248	0.3714699063
249	0.3713514738
250	0.3713264114
251	0.3712741121
252	0.3712467328
253	0.3711950157
254	0.371152378
255	0.3710630496
256	0.3707554731
257	0.3707315218
258	0.3705182424
259	0.3702258126
260	0.3701411745
261	0.3700635498
262	0.3698358726
263	0.3697746797
264	0.3697212828
265	0.3696795006
266	0.3695681755
267	0.3694661919
268	0.3694303799
269	0.3693877391
270	0.3693526225
271	0.3693202356
272	0.3692234541
273	0.3691919768
274	0.3691491121
275	0.3690369917
276	0.3689803144
277	0.3688820139
278	0.3686994987
279	0.3686571884
280	0.3686142426
281	0.3685622606
282	0.3685118249
283	0.3684855105
284	0.368432192
285	0.3683881219
286	0.3683461308
287	0.3683041437
288	0.3682614451
289	0.368197764
290	0.3681045469
291	0.368059012
292	0.367862495
293	0.367823335
294	0.3677992128
295	0.3677484094
296	0.3677083398
297	0.3676378366
298	0.3675967199
299	0.3675625731
300	0.3675167552
301	0.3674667213
302	0.3674196621
303	0.3673948097
304	0.3673533964
305	0.3673065018
306	0.3672729028
307	0.3672003601
308	0.3670906434
309	0.3670463755
310	0.3670084137
311	0.3669717567
312	0.3669361182
313	0.3668948814
314	0.3668729673
315	0.3668076172
316	0.3667712307
317	0.3666251895
318	0.3665814949
319	0.3665378137
320	0.366501861
321	0.3664700967
322	0.3664270434
323	0.3663691352
324	0.3662789581
325	0.3662012261
326	0.366144638
327	0.3661149884
328	0.3660877143
329	0.3660547022
330	0.3660259352
331	0.3659772998
332	0.3659350566
333	0.3659002544
334	0.3658610937
335	0.3658248321
336	0.365746598
337	0.3657120586
338	0.3656842872
339	0.3656479192
340	0.3656187512
341	0.3655728898
342	0.3655536318
343	0.3655199238
344	0.3654803264
345	0.3654438016
346	0.3654113138
347	0.3653718849
348	0.3653424264
349	0.3652987272
350	0.3651892476
351	0.3651502275
352	0.3651139514
353	0.3650790966
354	0.3649999227
355	0.36496487
356	0.3649305864
357	0.3649074449
358	0.3648768167
359	0.3648461734
360	0.3648078564
361	0.3647802614
362	0.3647465691
363	0.3647148286
364	0.3646983676
365	0.3646697581
366	0.3646394472
367	0.3645842137
368	0.3645533365
369	0.3645296015
370	0.3645031905
371	0.3644800841
372	0.3644129113
373	0.3643622312
374	0.364266855
375	0.3642004491
376	0.3641421699
377	0.3641099186
378	0.3640814209
379	0.3640379617
380	0.3640103103
381	0.3639773703
382	0.363945219
383	0.3639134585
384	0.3638801108
385	0.3638437974
386	0.3637875292
387	0.3637343227
388	0.3636486999
389	0.363598078
390	0.3635608802
391	0.3635209597
392	0.3634901372
393	0.3634502926
394	0.3634238162
395	0.3633919477
396	0.3633599856
397	0.3633200581
398	0.3632617509
399	0.3632323867
400	0.3631993356
401	0.3631141555
402	0.363046918
403	0.3629918634
404	0.3629567973
405	0.3629258732
406	0.3628837697
407	0.3628408609
408	0.3627938538
409	0.3627766241
410	0.3627495843
411	0.362715897
412	0.3626851214
413	0.3626582939
414	0.3625892295
415	0.3625356472
416	0.3625155427
417	0.3624975584
418	0.3624148662
419	0.3623697053
420	0.3623459667
421	0.3623173161
422	0.3622858503
423	0.3622679039
424	0.3622163197
425	0.3621918557
426	0.3621042203
427	0.3620710414
428	0.3620339819
429	0.3620116834
430	0.3619844706
431	0.3619558404
432	0.3619097327
433	0.3618713182
434	0.3618401978
435	0.3618154959
436	0.3617538672
437	0.3617239925
438	0.3616772496
439	0.3616343888
440	0.3616004508
441	0.3615738978
442	0.3615482453
443	0.3615047021
444	0.3614723335
445	0.3614455093
446	0.3614143289
447	0.3613907735
448	0.3613539801
449	0.361291866
450	0.3612590672
451	0.3612120593
452	0.3611845819
453	0.3611683285
454	0.3611234702
455	0.3610875529
456	0.3610719811
457	0.3610030089
458	0.3609174524
459	0.3608771131
460	0.3608534043
461	0.3608374935
462	0.3607928328
463	0.3607612578
464	0.3607315609
465	0.3606919149
466	0.3606637006
467	0.3606415532
468	0.3606166859
469	0.360605094
470	0.3605816002
471	0.3605423407
472	0.3605279851
473	0.3605010303
474	0.360464116
475	0.3604417316
476	0.3604047422
477	0.3603900735
478	0.3603673251
479	0.3603343326
480	0.3603207205
481	0.3602863299
482	0.3602453358
483	0.3602326633
484	0.3601995341
485	0.3601435013
486	0.3601136426
487	0.3600940976
488	0.360061652
489	0.3600285899
490	0.3599933429
491	0.3599774959
492	0.3599239324
493	0.3598851464
494	0.3598674557
495	0.3598383386
496	0.3597979381
497	0.3597727233
498	0.3597403132
499	0.3597129444
500	0.3596903247
501	0.3596685011
502	0.3596351053
503	0.3596112846
504	0.3595959089
505	0.3595723851
506	0.3595534874
507	0.3595360042
508	0.3595188975
509	0.3594855281
510	0.3594577
511	0.3594202484
512	0.3593877441
513	0.3593650726
514	0.3593369493
515	0.3593063646
516	0.3592808687
517	0.359255601
518	0.3592186953
519	0.3591889051
520	0.3591532114
521	0.3591414611
522	0.3590998792
523	0.3590728373
524	0.359056998
525	0.3589839063
526	0.3589444182
527	0.3589109195
528	0.3588858658
529	0.3588553102
530	0.3588438718
531	0.3588156085
532	0.3587885376
533	0.3587618283
534	0.3587399934
535	0.3586846135
536	0.3586454386
537	0.3586060952
538	0.3585885838
539	0.3585526708
540	0.3585251689
541	0.3584935293
542	0.3584580276
543	0.3584338256
544	0.3584182165
545	0.3583677308
546	0.3583118697
547	0.3582894643
548	0.3581678132
549	0.3581495724
550	0.3581248443
551	0.358091592
552	0.3580409005
553	0.3580311523
554	0.3580078713
555	0.3579831683
556	0.3579548398
557	0.3579247145
558	0.3578850255
559	0.3578747734
560	0.3578508625
561	0.35782922
562	0.3577959366
563	0.3577751606
564	0.3577626638
565	0.357725891
566	0.3576862794
567	0.3576684628
568	0.3576578733
569	0.3576435752
570	0.3576253565
571	0.3576101772
572	0.3575832992
573	0.3575702325
574	0.3575388814
575	0.3575114069
576	0.3574925364
577	0.3574633155
578	0.3574212738
579	0.3573935034
580	0.357351597
581	0.3573045176
582	0.3572896119
583	0.3572767271
584	0.357252719
585	0.3572300974
586	0.3571971954
587	0.3571751854
588	0.3571682052
589	0.3571196796
590	0.3570809422
591	0.3570470667
592	0.3570200943
593	0.3570150566
594	0.3570013162
595	0.3569833486
596	0.356958718
597	0.3569293639
598	0.3569038823
599	0.35686123
600	0.3568264778
601	0.3567853671
602	0.3567636127
603	0.3567291577
604	0.3566911397
605	0.3566643834
606	0.3566229099
607	0.3566057293
608	0.3565655572
609	0.3565392169
610	0.3565074551
611	0.3564838029
612	0.3564542527
613	0.3564471458
614	0.3564092684
615	0.3563469968
616	0.3563212842
617	0.3562880722
618	0.3562555984
619	0.3562337355
620	0.3562035288
621	0.356187981
622	0.3561556993
623	0.3561360261
624	0.3561099754
625	0.3560948828
626	0.356069049
627	0.3560510487
628	0.356007719
629	0.3559657861
630	0.3559458598
631	0.3559235071
632	0.3559016438
633	0.3558775866
634	0.3558633488
635	0.3558351149
636	0.3558076554
637	0.3557698392
638	0.355750011
639	0.3557276233
640	0.3556942637
641	0.3556673612
642	0.3556521848
643	0.3556232572
644	0.3555951737
645	0.3555677017
646	0.3555301051
647	0.3555066424
648	0.3554981397
649	0.3554730025
650	0.3554641161
651	0.355444939
652	0.3554252843
653	0.3554017456
654	0.3553834355
655	0.3553424585
656	0.3553375965
657	0.3553005011
658	0.3552952209
659	0.355276045
660	0.3552576277
661	0.3552512117
662	0.3552312854
663	0.3552010129
664	0.3551841204
665	0.3551480477
666	0.3551111329
667	0.3550848668
668	0.3550412389
669	0.3550195952
670	0.3550106819
671	0.3549791703
672	0.3549378956
673	0.3549231542
674	0.3549028277
675	0.3548863548
676	0.3548605807
677	0.354845309
678	0.354814602
679	0.3547890257
680	0.3547606902
681	0.3547410009
682	0.35470361
683	0.3546704387
684	0.3546474026
685	0.3546270438
686	0.3546132816
687	0.3545835828
688	0.3545604305
689	0.3545492659
690	0.3545331239
691	0.3545000336
692	0.3544455476
693	0.3544071232
694	0.3543864353
695	0.3543520353
696	0.3543246656
697	0.3542936408
698	0.3542808356
699	0.3542193665
700	0.3542007805
701	0.354174551
702	0.3541398048
703	0.3541141877
704	0.3540852409
705	0.3540698832
706	0.3540410335
707	0.3540163734
708	0.3539892487
709	0.3539568103
710	0.3539257527
711	0.3538969707
712	0.3538574537
713	0.3538313011
714	0.3538002356
715	0.3537650782
716	0.3537493403
717	0.3537354427
718	0.3536918588
719	0.3536711741
720	0.3536437715
721	0.3536182576
722	0.3535841895
723	0.3535565867
724	0.353536016
725	0.353517236
726	0.3534863834
727	0.3534793491
728	0.3534461164
729	0.3534027744
730	0.3533651556
731	0.3533334527
732	0.3532889553
733	0.35325257
734	0.3532258919
735	0.3531955997
736	0.3531760261
737	0.3531521058
738	0.3531155067
739	0.3531038527
740	0.3530978363
741	0.353082013
742	0.3530628377
743	0.3530527832
744	0.3530264357
745	0.3530129361
746	0.3530056517
747	0.3529829256
748	0.3529403907
749	0.3529054522
750	0.3528814495
751	0.3528409888
752	0.3528114431
753	0.3527799554
754	0.3527584954
755	0.3527397176
756	0.3527252146
757	0.3526936767
758	0.3526751331
759	0.3526556688
760	0.3525905586
761	0.3525692945
762	0.3525375802
763	0.3525189103
764	0.3524994252
765	0.3524667953
766	0.3524359691
767	0.3524190274
768	0.3524050032
769	0.3523823289
770	0.3523543738
771	0.3523379819
772	0.3523266587
773	0.3523063477
774	0.3522735462
775	0.3522503557
776	0.3522343799
777	0.3522191692
778	0.352200503
779	0.3521853699
780	0.3521787649
781	0.3521485578
782	0.3521232711
783	0.3521069859
784	0.3520748422
785	0.3520574747
786	0.3520498576
787	0.3520251668
788	0.352020311
789	0.3520017941
790	0.3519638699
791	0.3519485669
792	0.3519118206
793	0.3518808384
794	0.3518514259
795	0.3518293796
796	0.3518033205
797	0.3517786038
798	0.3517593384
799	0.3517534971
800	0.3517225317
801	0.3517182945
802	0.3516762241
803	0.3516609392
804	0.3516444147
805	0.3516329291
806	0.3516129429
807	0.3515849971
808	0.3515595563
809	0.3515554723
810	0.3515516372
811	0.3515283351
812	0.3515138489
813	0.351495805
814	0.3514733233
815	0.3514304878
816	0.3514122116
817	0.3513906961
818	0.351372125
819	0.3513634013
820	0.3513412621
821	0.3512878225
822	0.351266838
823	0.3512446409
824	0.3512166903
825	0.3511958589
826	0.3511753766
827	0.3511617156
828	0.3511385207
829	0.3511112646
830	0.3510829735
831	0.3510622738
832	0.3510018171
833	0.3509989129
834	0.3509720829
835	0.3508880902
836	0.3508559155
837	0.3508501123
838	0.350823849
839	0.3508002516
840	0.3507971775
841	0.3507905255
842	0.3507784942
843	0.3507643053
844	0.3507447593
845	0.3507259118
846	0.3507150483
847	0.3506908626
848	0.3506640206
849	0.3506370236
850	0.3506238548
851	0.3506043545
852	0.3505833367
853	0.3505630863
854	0.3505405116
855	0.3505066581
856	0.3504956717
857	0.350475452
858	0.350448369
859	0.3504297155
860	0.3503999763
861	0.3503728559
862	0.3503487476
863	0.3503142754
864	0.3502877348
865	0.3502700366
866	0.3502383531
867	0.3501965419
868	0.3501777168
869	0.3501562215
870	0.3501339071
871	0.3501001286
872	0.3500842759
873	0.3500762031
874	0.3500625692
875	0.3499937663
876	0.3499661579
877	0.349962572
878	0.3499398699
879	0.3499350419
880	0.349902815
881	0.3498661362
882	0.349837619
883	0.3498107974
884	0.3498077909
885	0.3497870576
886	0.3497644105
887	0.3497486349
888	0.3497457326
889	0.3497222712
890	0.349702391
891	0.3496995212
892	0.349669176
893	0.3496539064
894	0.3496164275
895	0.3495930847
896	0.3495860671
897	0.3495591483
898	0.3495386823
899	0.3495136049
900	0.3494965158
901	0.3494780145
902	0.3494623472
903	0.3494361087
904	0.3494095659
905	0.3493878193
906	0.3493784982
907	0.3493689122
908	0.3493260948
909	0.3492934128
910	0.3492638497
911	0.3492468804
912	0.3492300819
913	0.3491851367
914	0.3491708924
915	0.3491343512
916	0.3491214851
917	0.3490988496
918	0.3490637166
919	0.3490608364
920	0.3490300741
921	0.3489906684
922	0.3489657974
923	0.3489455148
924	0.3489263055
925	0.3489055554
926	0.3488896403
927	0.3488779529
928	0.348854396
929	0.3488421791
930	0.3488158316
931	0.3487924943
932	0.3487681606
933	0.3487386541
934	0.3487199223
935	0.3486934312
936	0.3486681293
937	0.3486538311
938	0.3486381629
939	0.3486242341
940	0.3486022992
941	0.3485921906
942	0.3485702883
943	0.3485543685
944	0.3485301739
945	0.3485075627
946	0.348497908
947	0.3484770473
948	0.34845383
949	0.3484329117
950	0.3484093025
951	0.3483788914
952	0.3483514322
953	0.3483285699
954	0.3483034382
955	0.3482892975
956	0.3482563098
957	0.3482437261
958	0.3482096746
959	0.3481798622
960	0.3481661127
961	0.3481213863
962	0.348078664
963	0.3480752468
964	0.3480432486
965	0.3480132183
966	0.3480064767
967	0.3479807883
968	0.3479534991
969	0.3479350453
970	0.347916065
971	0.3479134337
972	0.347903869
973	0.3478793227
974	0.3478636212
975	0.347835294
976	0.347813177
977	0.347774128
978	0.3477572379
979	0.3477258153
980	0.3477035646
981	0.34768522
982	0.3476436956
983	0.3476291066
984	0.3475875476
985	0.3475537192
986	0.3474969693
987	0.3474900879
988	0.347443926
989	0.347416597
990	0.3473896429
991	0.3473716795
992	0.347334419
993	0.3473186241
994	0.3473001655
995	0.3472724874
996	0.3472513469
997	0.347238992
998	0.3472282126
999	0.3472092767
