iter	Passed	Remaining
409	4170	6001
410	4179	5989
411	4187	5975
412	4195	5963
413	4203	5950
414	4213	5939
415	4221	5925
416	4231	5915
417	4239	5902
418	4247	5890
419	4256	5877
420	4264	5864
421	4273	5853
422	4281	5840
423	4291	5829
424	4299	5817
425	4309	5806
426	4317	5793
427	4326	5782
428	4334	5769
429	4344	5758
430	4352	5745
431	4360	5732
432	4368	5720
433	4378	5709
434	4386	5697
435	4395	5685
436	4403	5673
437	4411	5660
438	4419	5648
439	4428	5635
440	4438	5625
441	4447	5614
442	4456	5603
443	4466	5593
444	4476	5582
445	4487	5573
446	4495	5562
447	4505	5551
448	4519	5546
449	4529	5536
450	4542	5529
451	4556	5524
452	4569	5518
453	4581	5509
454	4590	5498
455	4600	5488
456	4611	5479
457	4620	5467
458	4631	5458
459	4640	5448
460	4651	5438
461	4661	5428
462	4670	5416
463	4681	5407
464	4691	5397
465	4701	5387
466	4713	5379
467	4724	5370
468	4734	5360
469	4743	5349
470	4751	5336
471	4762	5327
472	4770	5314
473	4779	5303
474	4788	5292
475	4796	5279
476	4804	5268
477	4812	5255
478	4821	5243
479	4828	5231
480	4837	5219
481	4845	5207
482	4854	5195
483	4861	5182
484	4870	5171
485	4878	5159
486	4887	5148
487	4896	5137
488	4908	5129
489	4916	5117
490	4924	5105
491	4933	5094
492	4941	5081
493	4949	5070
494	4957	5057
495	4967	5047
496	4975	5035
497	4985	5025
498	4994	5014
499	5005	5005
500	5016	4996
501	5025	4985
502	5038	4978
503	5050	4969
504	5060	4960
505	5070	4950
506	5083	4943
507	5093	4933
508	5103	4923
509	5116	4915
510	5128	4908
511	5138	4897
512	5149	4888
513	5161	4880
514	5169	4868
515	5181	4859
516	5192	4850
517	5202	4841
518	5214	4832
519	5225	4823
520	5235	4813
521	5246	4804
522	5258	4795
523	5269	4786
524	5279	4776
525	5288	4765
526	5297	4754
527	5306	4743
528	5314	4731
529	5323	4721
530	5332	4709
531	5342	4700
532	5373	4707
533	5381	4695
534	5390	4685
535	5400	4674
536	5408	4663
537	5417	4652
538	5426	4641
539	5435	4630
540	5444	4619
541	5454	4609
542	5462	4597
543	5472	4587
544	5481	4576
545	5489	4564
546	5500	4554
547	5508	4543
548	5518	4533
549	5528	4523
550	5538	4513
551	5546	4501
552	5554	4489
553	5562	4478
554	5570	4466
555	5580	4456
556	5588	4445
557	5598	4434
558	5607	4423
559	5615	4412
560	5625	4402
561	5634	4391
562	5643	4380
563	5653	4370
564	5663	4360
565	5675	4351
566	5686	4342
567	5699	4334
568	5710	4325
569	5720	4315
570	5729	4304
571	5739	4294
572	5748	4284
573	5760	4275
574	5769	4264
575	5779	4254
576	5789	4244
577	5798	4233
578	5810	4225
579	5822	4216
580	5834	4207
581	5844	4197
582	5857	4189
583	5866	4179
584	5878	4170
585	5890	4161
586	5900	4151
587	5909	4140
588	5918	4129
589	5925	4117
590	5937	4108
591	5945	4097
592	5955	4087
593	5963	4076
594	5972	4065
595	5982	4055
596	5991	4044
597	6001	4034
598	6009	4023
599	6019	4013
600	6030	4003
601	6039	3993
602	6049	3982
603	6057	3971
604	6066	3960
605	6074	3949
606	6082	3937
607	6089	3926
608	6097	3914
609	6105	3903
610	6113	3892
611	6120	3880
612	6130	3870
613	6138	3858
614	6145	3847
615	6157	3838
616	6165	3827
617	6175	3817
618	6183	3805
619	6192	3795
620	6200	3784
621	6208	3773
622	6217	3762
623	6227	3752
624	6235	3741
625	6243	3729
626	6252	3719
627	6260	3708
628	6269	3697
629	6277	3687
630	6286	3676
631	6294	3665
632	6304	3655
633	6311	3643
634	6320	3633
635	6329	3622
636	6338	3611
637	6346	3601
638	6359	3592
639	6371	3583
640	6379	3573
641	6387	3562
642	6396	3551
643	6405	3541
644	6415	3531
645	6425	3521
646	6436	3511
647	6446	3501
648	6455	3491
649	6466	3481
650	6476	3471
651	6487	3462
652	6498	3453
653	6513	3446
654	6523	3436
655	6534	3426
656	6543	3416
657	6553	3406
658	6563	3396
659	6573	3386
660	6584	3376
661	6594	3366
662	6604	3356
663	6614	3347
664	6624	3337
665	6634	3327
666	6645	3317
667	6655	3307
668	6668	3299
669	6679	3289
670	6688	3279
671	6697	3269
672	6708	3259
673	6718	3249
674	6728	3239
675	6739	3230
676	6748	3219
677	6759	3210
678	6771	3201
679	6782	3191
680	6792	3182
681	6803	3172
682	6811	3161
683	6822	3151
684	6831	3141
685	6841	3131
686	6853	3122
687	6865	3113
688	6875	3103
689	6885	3093
690	6895	3083
691	6906	3074
692	6917	3064
693	6927	3054
694	6936	3044
695	6946	3034
696	6957	3024
697	6969	3015
698	6979	3005
699	6988	2995
700	6999	2985
701	7008	2975
702	7018	2965
703	7029	2955
704	7039	2945
705	7049	2935
706	7060	2926
707	7070	2916
708	7081	2906
709	7092	2896
710	7103	2887
711	7114	2877
712	7125	2868
713	7134	2857
714	7144	2847
715	7154	2837
716	7162	2827
717	7172	2817
718	7181	2806
719	7191	2796
720	7199	2786
721	7210	2776
722	7223	2767
723	7234	2757
724	7244	2747
725	7254	2737
726	7263	2727
727	7272	2717
728	7282	2707
729	7291	2696
730	7300	2686
731	7309	2676
732	7318	2665
733	7328	2655
734	7338	2645
735	7347	2635
736	7356	2625
737	7365	2614
738	7374	2604
739	7383	2594
740	7391	2583
741	7400	2573
742	7408	2562
743	7417	2552
744	7424	2541
745	7434	2531
746	7441	2520
747	7450	2510
748	7459	2499
749	7468	2489
750	7476	2478
751	7499	2473
752	7508	2463
753	7519	2453
754	7529	2443
755	7539	2433
756	7552	2424
757	7564	2414
758	7573	2404
759	7581	2394
760	7590	2383
761	7599	2373
762	7609	2363
763	7617	2353
764	7627	2343
765	7637	2333
766	7646	2322
767	7656	2312
768	7664	2302
769	7674	2292
770	7683	2282
771	7691	2271
772	7700	2261
773	7708	2250
774	7717	2240
775	7725	2230
776	7735	2219
777	7743	2209
778	7752	2199
779	7760	2188
780	7768	2178
781	7777	2168
782	7787	2158
783	7795	2147
784	7803	2137
785	7811	2126
786	7820	2116
787	7832	2107
788	7840	2096
789	7850	2086
790	7859	2076
791	7868	2066
792	7878	2056
793	7891	2047
794	7901	2037
795	7910	2027
796	7918	2016
797	7927	2006
798	7935	1996
799	7944	1986
800	7952	1975
801	7961	1965
802	7970	1955
803	7979	1945
804	7987	1934
805	7995	1924
806	8003	1914
807	8013	1904
808	8021	1893
809	8030	1883
810	8039	1873
811	8048	1863
812	8056	1853
813	8065	1842
814	8073	1832
815	8081	1822
816	8089	1812
817	8097	1801
818	8107	1791
819	8114	1781
820	8124	1771
821	8132	1761
822	8141	1751
823	8150	1740
824	8159	1730
825	8167	1720
826	8176	1710
827	8188	1700
828	8197	1690
829	8207	1681
830	8218	1671
831	8228	1661
832	8237	1651
833	8246	1641
834	8257	1631
835	8267	1621
836	8276	1611
837	8285	1601
838	8298	1592
839	8310	1583
840	8322	1573
841	8333	1563
842	8343	1553
